hour,electricity_production,heat_production,refrigeration_produced,purchased_electricity,heat_stored,electrical_efficiency,thermal_efficiency,carbon_credits,fuel_blend_ng,fuel_blend_h2,fuel_blend_biomass,model_cost
80,0.03216850813126152,0.12867403252504608,0.5146961292749399,2.262381479233906,9.216851893287809e-10,,,0,0,0,0,2729987.098184517
81,0.03172180985043406,0.12688723940173624,0.5075489570321412,2.615662111899634,8.810862407591944e-10,,,0,0,0,0,2729987.098184517
82,0.03978774642174828,0.15915098568699312,0.6366039416017631,2.7436008384244523,8.976716455343934e-10,,,0,0,0,0,2729987.098184517
83,0.03636569361704063,0.14546277446816253,0.5818510971544817,2.9026299650489036,8.706622759916855e-10,,,0,0,0,0,2729987.098184517
84,0.03965325300749773,0.15861301202999092,0.634452047340908,3.1046646403280325,8.50482681290289e-10,,,0,0,0,0,2729987.098184517
85,0.042424445481556314,0.16969778192622526,0.6787911260455396,3.471384458131721,9.237569361194856e-10,,,0,0,0,0,2729987.098184517
86,0.04161815033850361,0.16647260135401443,0.665890404607446,3.239462700804342,9.032650799395115e-10,,,0,0,0,0,2729987.098184517
87,0.039295331390286584,0.15718132556114633,0.628725301700332,3.371816062109999,8.601962386352004e-10,,,0,0,0,0,2729987.098184517
88,0.04437989793523697,0.1775195917409479,0.7100783663162435,3.250394218160725,8.277223609353429e-10,,,0,0,0,0,2729987.098184517
89,0.045756144864217724,0.1830245794568709,0.7320983168182446,2.878688136731987,8.309053638229011e-10,,,0,0,0,0,2729987.098184517
90,0.0413280501143916,0.1653122004575664,0.6612488009527313,2.8556302199278165,8.203198426728787e-10,,,0,0,0,0,2729987.098184517
91,0.04358298515176473,0.17433194060705892,0.6973277615204041,2.292470349399844,8.126117300738614e-10,,,0,0,0,0,2729987.098184517
92,0.03942112478800766,0.15768449915203064,0.6307379960223031,2.463834163375053,7.754996386512883e-10,,,0,0,0,0,2729987.098184517
93,0.03491076145589537,0.13964304582358147,0.5585721823131602,1.8386109228412097,7.75771432147291e-10,,,0,0,0,0,2729987.098184517
94,0.039224702830681905,0.15689881132272762,0.6275952397424912,1.7183230025448382,1.2984108024818404e-09,,,0,0,0,0,2729987.098184517
95,0.03479061920961056,0.13916247683844224,0.5566499067473354,1.4288808491777196,1.2377557003059807e-09,,,0,0,0,0,2729987.098184517
96,0.033609097746683844,0.13443639098673538,0.53774556292837,1.145773093803055,1.2188360720969214e-09,,,0,0,0,0,2729987.098184517
97,0.03328802373719643,0.13315209494878572,0.5326083787231425,1.1612738738325403,1.2068309532381575e-09,,,0,0,0,0,2729987.098184517
98,0.029799264267304976,0.1191970570692199,0.4767882275085029,0.9956958296579412,1.1662106806087654e-09,,,0,0,0,0,2729987.098184517
99,0.027672610793761127,0.1106904431750445,0.4427617716001685,1.1252170701827022,1.16076143974636e-09,,,0,0,0,0,2729987.098184517
100,0.027773556510726438,0.11109422604290575,0.4443769033526782,1.3115321688689592,1.1280756155180224e-09,,,0,0,0,0,2729987.098184517
101,0.02633002454253988,0.10532009817015953,0.4212803918575311,1.5600817176809418,1.097745981935284e-09,,,0,0,0,0,2729987.098184517
102,0.02957854681684887,0.11831418726739548,0.4732567479908111,1.5817641365068498,1.094797814327633e-09,,,0,0,0,0,2729987.098184517
103,0.0354054787917734,0.1416219151670936,0.566487659904279,1.820440795006025,1.061203402260251e-09,,,0,0,0,0,2729987.098184517
104,0.034411446517321594,0.13764578606928637,0.5505831433322728,2.310636124685009,1.0470804230501436e-09,,,0,0,0,0,2729987.098184517
105,0.030989898923913527,0.12395959569565411,0.4958383818474631,2.486844644115144,1.0329215125613696e-09,,,0,0,0,0,2729987.098184517
106,0.0298546017939863,0.1194184071759452,0.4776736273536387,2.662273763464636,1.063168927188949e-09,,,0,0,0,0,2729987.098184517
107,0.035928537322667896,0.14371414929067158,0.5748565960103811,3.119566088052161,1.0711578927200227e-09,,,0,0,0,0,2729987.098184517
108,0.042547483304996886,0.17018993321998754,0.6807597323183864,3.2815085248297966,1.0219794415202285e-09,,,0,0,0,0,2729987.098184517
109,0.042466101178541535,0.16986440471416614,0.6794576180562059,3.392176242754344,9.96980579833605e-10,,,0,0,0,0,2729987.098184517
110,0.04137672605141779,0.16550690420567116,0.662027616057588,3.1588833778005974,9.70116153156465e-10,,,0,0,0,0,2729987.098184517
111,0.03998168874007592,0.15992675496030367,0.6397070191560206,3.305543200356529,9.371986400648441e-10,,,0,0,0,0,2729987.098184517
112,0.04122106896198218,0.16488427584792872,0.6595371024429568,3.2906149956210653,9.314063907118417e-10,,,0,0,0,0,2729987.098184517
113,0.043689497446239074,0.1747579897849563,0.6990319581059203,2.904986142549331,9.34523731431036e-10,,,0,0,0,0,2729987.098184517
114,0.03872698163886068,0.15490792655544272,0.6196317055847789,2.8449680421107333,8.991302997722137e-10,,,0,0,0,0,2729987.098184517
115,0.04061860802878476,0.16247443211513904,0.6498977274360727,2.559991543413778,9.029128494030318e-10,,,0,0,0,0,2729987.098184517
116,0.042026992591244886,0.16810797036497954,0.6724318807295455,2.1382079136038445,8.77416861238063e-10,,,0,0,0,0,2729987.098184517
117,0.03853622261759486,0.15414489047037944,0.6165795609135508,1.9538673673312212,8.763020322285167e-10,,,0,0,0,0,2729987.098184517
118,0.03361079798030512,0.13444319192122048,0.5377727670466266,1.6611016059725914,8.434337693231035e-10,,,0,0,0,0,2729987.098184517
119,0.0320179103990738,0.1280716415962952,0.5122865655018829,1.413274457347782,8.349322826635515e-10,,,0,0,0,0,2729987.098184517
120,0.03139694987129134,0.12558779948516535,0.5023511947178715,1.2508311864362889,1.0889529306490149e-09,,,0,0,0,0,2729987.098184517
121,0.029573576718343125,0.1182943068733725,0.4731772268927253,1.062597678684955,1.0420315665062965e-09,,,0,0,0,0,2729987.098184517
122,0.036046831058971725,0.1441873242358869,0.576749296130854,0.9805286236502355,1.0169567841137928e-09,,,0,0,0,0,2729987.098184517
123,0.030794061309246414,0.12317624523698566,0.4927049805278912,1.065580611157672,9.599475108128671e-10,,,0,0,0,0,2729987.098184517
124,0.031896048013404156,0.12758419205361662,0.5103367668217946,1.377570243373869,9.997398268840546e-10,,,0,0,0,0,2729987.098184517
