Year,Hour,ElectricityProduction,HeatProduction,PurchasedElectricity,HeatOverProduction,ElectricityOverProduction,CO2Emissions,HeatStored,HeatWithdrawn,ElecReductionByCHP,HeatReductionByCHP,GridReductionShortfall,HeatToElec,UsefulHeat,UsefulElec,HeatToPlant,ElecToPlant,RefrigerationProduced,HeatUsedForCooling,ElecUsedForCooling,RampRate,ProductionOutput
0,5931,0.0,1291.1500003369115,327.99999999820653,667.5000004150378,0.0,0.0,999.9999998486225,1.5266543834090662e-07,1.7934793488731545e-09,1.7934793488731545e-09,0.0,0.0,623.6499999218737,0.0,575.8999999982065,0.0,191.0,95.5,0.0,400.0,722.3999999971306
0,5932,0.0,1691.1500003070457,383.9999999980521,2.0395733808586718e-08,0.0,0.0,1.0207808821032147e-06,474.99999942280414,1.9479130461341585e-09,1.9479130461341585e-09,0.0,0.0,1691.15000028665,0.0,1875.8999999980522,0.0,211.0,105.5,0.0,400.0,1807.1999999968832
0,5933,0.0,2043.6500000332005,303.9999999981726,6.453473542953142e-08,0.0,0.0,8.83981438056067e-07,5.901388382837908e-08,1.8273876812944633e-09,1.8273876812944633e-09,0.0,0.0,2043.6499999686657,0.0,1989.8999999981727,0.0,215.0,107.5,0.0,400.0,1834.399999997076
0,5934,0.0,2193.9000001424233,412.9999999982333,1.6324709063031328e-07,0.0,0.0,8.451754800299283e-07,3.811521571924795e-08,1.7667174442774525e-09,1.7667174442774525e-09,0.0,0.0,2193.8999999791763,0.0,2144.8999999982334,0.0,196.0,98.0,0.0,400.0,2045.5999999971734
0,5935,0.0,2196.9000000582764,341.9999999981974,8.461436467658022e-08,0.0,0.0,7.470820610503229e-07,4.9070913658201026e-08,1.8026263365541482e-09,1.8026263365541482e-09,0.0,0.0,2196.899999973662,0.0,2146.8999999981975,0.0,200.0,100.0,0.0,400.0,1990.399999997116
0,5936,0.0,2173.400000056598,448.9999999981986,8.362629834071505e-08,0.0,0.0,6.506335822573183e-07,5.045376245542384e-08,1.8014058738715526e-09,1.8014058738715526e-09,0.0,0.0,2173.3999999729717,0.0,2120.899999998199,0.0,210.0,105.0,0.0,400.0,2055.199999997118
0,5937,0.0,2447.650000094404,379.99999999822387,1.1833013034211024e-07,0.0,0.0,5.886651500381466e-07,4.430090913868032e-08,1.7761525112778662e-09,1.7761525112778662e-09,0.0,0.0,2447.6499999760736,0.0,2398.899999998224,0.0,195.0,97.5,0.0,400.0,2222.399999997158
0,5938,0.0,2119.4000000228443,741.9999999981726,6.128341659268597e-08,0.0,0.0,4.4342630112583963e-07,7.322364985337062e-08,1.8273876920079295e-09,1.8273876920079295e-09,0.0,0.0,2119.3999999615608,0.0,2066.899999998173,0.0,210.0,105.0,0.0,400.0,2246.399999997076
0,5939,0.0,2301.1500002390667,703.9999999982588,2.6149678069952007e-07,0.0,0.0,4.6924620490218294e-07,4.137858575856033e-08,1.7412804107110442e-09,1.7412804107110442e-09,0.0,0.0,2301.1499999775697,0.0,2252.899999998259,0.0,193.0,96.5,0.0,400.0,2364.7999999972144
0,5940,0.0,2108.899999973844,627.9999999981612,5.1312428146630986e-08,0.0,0.0,1.6892025913879283e-07,1.5125992479579514e-07,1.8387536088320462e-09,1.8387536088320462e-09,0.0,0.0,2108.8999999225316,0.0,2060.8999999981615,0.0,192.0,96.0,0.0,400.0,2150.399999997058
0,5941,0.0,1976.9000000093176,762.9999999982483,115.25000006171925,0.0,0.0,57.62499998873301,1.0130042711899112e-07,1.7516847899802837e-09,1.7516847899802837e-09,0.0,0.0,1861.6499999475984,0.0,1806.8999999982484,0.0,219.0,109.5,0.0,400.0,2055.199999997197
0,5942,0.0,2376.899999948743,682.9999999982153,4.145009504611434e-08,0.0,0.0,54.743749646332354,1.8184452196546576e-07,1.784625012396042e-09,1.784625012396042e-09,0.0,0.0,2376.8999999072926,0.0,2327.8999999982157,0.0,196.0,98.0,0.0,400.0,2407.999999997144
0,5943,0.0,1976.900000167055,751.9999999982814,30.750000196872882,0.0,0.0,67.38156215005394,5.619911907129156e-08,1.7185750736864605e-09,1.7185750736864605e-09,0.0,0.0,1946.149999970182,0.0,1893.8999999982816,0.0,209.0,104.5,0.0,400.0,2115.9999999972506
0,5944,0.0,2062.8968794658103,732.9999999981637,4.7300913158955576e-08,0.0,0.0,1.747585280399919e-06,32.00624115930821,1.8362156459690802e-09,1.8362156459690802e-09,0.0,0.0,2062.8968794185093,0.0,2024.8999999981638,0.0,216.0,108.0,0.0,400.0,2205.5999999970622
0,5945,0.0,2150.1500000873375,689.9999999982473,1.2631111110094733e-07,0.0,0.0,1.5744797293709701e-06,7.444092127970806e-08,1.7527512977348335e-09,1.7527512977348335e-09,0.0,0.0,2150.1499999610264,0.0,2099.8999999982475,0.0,201.0,100.5,0.0,400.0,2231.1999999971963
0,5946,0.0,2094.4000000093665,595.9999999982083,7.399550510655139e-08,0.0,0.0,1.2814014224788087e-06,1.2567603648843987e-07,1.7917013274906317e-09,1.7917013274906317e-09,0.0,0.0,2094.399999935371,0.0,2048.8999999982084,0.0,182.0,91.0,0.0,400.0,2115.1999999971335
0,5947,0.0,2034.1499997773212,640.9999999981713,2.8916506850659484e-08,0.0,0.0,2.3272239642471218e-07,4.995336041777388e-07,1.8285990331935257e-09,1.8285990331935257e-09,0.0,0.0,2034.1499997484048,0.0,1985.8999999981716,0.0,193.0,96.5,0.0,400.0,2100.7999999970743
0,5948,0.0,1634.1499998101835,780.9999999982426,1064.999999912378,0.0,0.0,532.4999997755268,2.0087414419394891e-07,1.757344688487404e-09,1.757344688487404e-09,0.0,0.0,569.1499998978055,0.0,520.8999999982426,0.0,193.0,96.5,0.0,400.0,1040.7999999971883
0,5949,0.0,1234.149999863507,670.9999999982425,598.7499999430446,0.0,0.0,805.2499994471522,1.5556040570703946e-07,1.7575183468578383e-09,1.7575183468578383e-09,0.0,0.0,635.3999999204624,0.0,580.8999999982425,0.0,218.0,109.0,0.0,400.0,1000.7999999971881
0,5950,0.0,834.1499999535087,688.9999999982325,204.00000003878392,0.0,0.0,866.9874991601556,1.6701542899118017e-07,1.7674668766054092e-09,1.7674668766054092e-09,0.0,0.0,630.1499999147247,0.0,580.8999999982325,0.0,197.0,98.5,0.0,400.0,1015.1999999971722
