Time,electricity_production,heat_production,fuel_consumed,heat_to_elec,electrical_efficiency,thermal_efficiency,fuel_blend_ng,fuel_blend_h2,fuel_blend_biomass,fuel_energy,invest_h2,invest_time,active_h2_blending,invest_eb,invest_time_eb,active_eb,heat_to_plant,elec_to_plant,useful_heat,useful_elec,purchased_electricity,heat_stored,heat_withdrawn,heat_over_production,electricity_over_production,ramp_rate,refrigeration_produced,heat_used_for_cooling,elec_used_for_cooling,co2_emissions,total_emissions_per_interval,carbon_credits,credits_purchased,credits_earned,credits_sold,exceeds_cap,credits_held,emissions_difference,credits_used_to_offset,below_cap,invest_ccs,invest_time_ccs,active_ccs,transport_cost,captured_co2,uncaptured_co2,ccs_energy_penalty,total_fuel_co2_active_ccs
28,1893.5888402448998,7574.355360979599,10099.140481306133,0.0,1,1,1.0,0.0,0.0,1.0,1.0,-0.0,0.0,0.0,-0.0,-0.0,7517.807827949899,1696.8758378676246,7574.355360979599,1893.5888402448998,0.0,0.0,0.0,0.0,0.0,5000,422.9031344960764,113.09506605940066,196.71300237727507,0,28725.931349881084,5373.631349880779,0,0.0,0.0,0,7.962808012962341e-08,0,0.0,1.0,-0.0,-0.0,0.0,0.0,0.0,2671.8109058873492,0.0,0.0
29,1726.8163902785666,6907.265561114266,9209.687414819022,0.0,1,1,1.0,0.0,0.0,1.0,1.0,-0.0,0.0,0.0,-0.0,-0.0,6826.534579053796,1641.2444006647177,6907.265561114266,1726.8163902785666,0.0,0.0,0.0,0.0,0.0,5000,408.4959178557321,161.46196412094153,85.57198961384904,0,28725.931349881084,5373.631349880779,0,0.0,0.0,0,7.962808012962341e-08,0,0.0,1.0,-0.0,-0.0,0.0,0.0,0.0,2476.131231260185,0.0,0.0
30,1294.6657476031319,5178.6629904125275,6904.883987216704,0.0,1,1,1.0,0.0,0.0,1.0,1.0,-0.0,0.0,0.0,-0.0,-0.0,5089.150789578039,1294.6657476031319,5178.6629904125275,1294.6657476031319,135.84058595730176,0.0,0.0,0.0,0.0,5000,358.0488033379538,179.0244016689769,0.0,0,28725.931349881084,5373.631349880779,0,0.0,0.0,0,7.962808012962341e-08,0,0.0,1.0,-0.0,-0.0,0.0,0.0,0.0,1969.0744771876748,0.0,0.0
31,1461.8261842150814,5847.304736860326,7796.406315813768,0.0,1,1,1.0,0.0,0.0,1.0,1.0,-0.0,0.0,0.0,-0.0,-0.0,5745.422916405694,1461.8261842150814,5847.304736860326,1461.8261842150814,173.86884834499688,0.0,0.0,0.0,0.0,5000,407.5272818185275,203.76364090926376,0.0,0,28725.931349881084,5373.631349880779,0,0.0,0.0,0,7.962808012962341e-08,0,0.0,1.0,-0.0,-0.0,0.0,0.0,0.0,2165.2093894790287,0.0,0.0
32,1432.663509169021,5730.654036676084,7640.872048901445,0.0,1,1,1.0,0.0,0.0,1.0,1.0,-0.0,0.0,0.0,-0.0,-0.0,5628.691352675942,1432.663509169021,5730.654036676084,1432.663509169021,210.75903660637596,0.0,0.0,0.0,0.0,5000,407.8507360005686,203.9253680002843,0.0,0,28725.931349881084,5373.631349880779,0,0.0,0.0,0,7.962808012962341e-08,0,0.0,1.0,-0.0,-0.0,0.0,0.0,0.0,2130.991850758318,0.0,0.0
33,1384.4811476143714,5537.9245904574855,7383.899453943314,0.0,1,1,1.0,0.0,0.0,1.0,1.0,-0.0,0.0,0.0,-0.0,-0.0,5436.5547279088905,1384.4811476143714,5537.9245904574855,1384.4811476143714,236.21127536968606,0.0,0.0,0.0,0.0,5000,405.4794501943808,202.7397250971904,0.0,0,28725.931349881084,5373.631349880779,0,0.0,0.0,0,7.962808012962341e-08,0,0.0,1.0,-0.0,-0.0,0.0,0.0,0.0,2074.457879867529,0.0,0.0
34,1497.2573649087194,5989.029459634878,7985.372612846503,0.0,1,1,1.0,0.0,0.0,1.0,1.0,-0.0,0.0,0.0,-0.0,-0.0,5886.031450222677,1497.2573649087194,5989.029459634878,1497.2573649087194,146.55220410167863,0.0,0.0,0.0,0.0,5000,411.9920376488024,205.9960188244012,0.0,0,28725.931349881084,5373.631349880779,0,0.0,0.0,0,7.962808012962341e-08,0,0.0,1.0,-0.0,-0.0,0.0,0.0,0.0,2206.781974826231,0.0,0.0
35,1662.0966633127505,6648.386653251002,8864.515537668003,0.0,1,1,1.0,0.0,0.0,1.0,1.0,-0.0,0.0,0.0,-0.0,-0.0,6543.345256758391,1662.0966633127505,6648.386653251002,1662.0966633127505,35.46363153295988,0.0,0.0,0.0,0.0,5000,420.1655859704444,210.0827929852222,0.0,0,28725.931349881084,5373.631349880779,0,0.0,0.0,0,7.962808012962341e-08,0,0.0,1.0,-0.0,-0.0,0.0,0.0,0.0,2400.1934182869604,0.0,0.0
36,1788.2569016112088,7153.027606444835,9537.370141926447,0.0,1,1,1.0,0.0,0.0,1.0,1.0,-0.0,0.0,0.0,-0.0,-0.0,7069.934317694667,1695.5810325820676,7153.027606444835,1788.2569016112088,0.0,0.0,0.0,0.0,0.0,5000,425.04902402981566,166.18657750033714,92.67586902914135,0,29762.232899421502,8044.593899421183,0,0.0,0.0,0,8.079223334789276e-08,0,0.0,1.0,-0.0,-0.0,0.0,0.0,0.0,2643.5951326430827,0.0,0.0
37,1770.4290575217017,7081.716230086807,9442.28830678241,0.0,1,1,1.0,0.0,0.0,1.0,1.0,-0.0,0.0,0.0,-0.0,-0.0,7028.077238803128,1588.8635386269827,7081.716230086807,1770.4290575217017,0.0,0.0,0.0,0.0,0.0,5000,396.12148402943376,107.27798256735737,181.56551889471902,0,29762.232899421502,8044.593899421183,0,0.0,0.0,0,8.079223334789276e-08,0,0.0,1.0,-0.0,-0.0,0.0,0.0,0.0,2621.726310559954,0.0,0.0
38,1952.4396073366372,7809.758429346549,10413.011239128731,0.0,1,1,1.0,0.0,0.0,1.0,1.0,-0.0,0.0,0.0,-0.0,-0.0,7767.118249931799,1696.6573015678662,7809.758429346549,1952.4396073366372,0.0,0.0,0.0,0.0,0.0,5000,426.34302342777056,85.28035882949976,255.78230576877104,0,29762.232899421502,8044.593899421183,0,0.0,0.0,0,8.079223334789276e-08,0,0.0,1.0,-0.0,-0.0,0.0,0.0,0.0,2844.9925849996084,0.0,0.0
39,1889.8789755844405,7559.515902337762,10079.35453645035,0.0,1,1,1.0,0.0,0.0,1.0,1.0,-0.0,0.0,0.0,-0.0,-0.0,7519.371789200575,1640.095252413901,7559.515902337762,1889.8789755844405,0.0,0.0,0.0,0.0,0.0,5000,410.3601757192847,80.28822627437272,249.78372317053928,0,29762.232899421502,8044.593899421183,0,0.0,0.0,0,8.079223334789276e-08,0,0.0,1.0,-0.0,-0.0,0.0,0.0,0.0,2768.2515433835792,0.0,0.0
40,1893.0676429522928,7572.270571809171,10096.360762412229,0.0,1,1,1.0,0.0,0.0,1.0,1.0,-0.0,0.0,0.0,-0.0,-0.0,7514.775386642473,1699.690298374333,7572.270571809171,1893.0676429522928,0.0,0.0,0.0,0.0,0.0,5000,423.35808524475175,114.99037033339602,193.37734457795972,0,29762.232899421502,8044.593899421183,0,0.0,0.0,0,8.079223334789276e-08,0,0.0,1.0,-0.0,-0.0,0.0,0.0,0.0,2772.1629753548127,0.0,0.0
41,1580.253968190982,6321.015872763928,8428.021163685238,0.0,1,1,1.0,0.0,0.0,1.0,1.0,-0.0,0.0,0.0,-0.0,-0.0,6232.216466746216,1547.7609186908476,6321.015872763928,1580.253968190982,0.0,0.0,0.0,0.0,0.0,5000,387.6906735709852,177.59881203542534,32.49304950013453,0,29762.232899421502,8044.593899421183,0,0.0,0.0,0,8.079223334789276e-08,0,0.0,1.0,-0.0,-0.0,0.0,0.0,0.0,2388.444867647604,0.0,0.0
42,1290.9246453199828,5163.698581279931,6884.931441706575,0.0,1,1,1.0,0.0,0.0,1.0,1.0,-0.0,0.0,0.0,-0.0,-0.0,5074.127270027462,1290.9246453199828,5163.698581279931,1290.9246453199828,133.9143767751391,0.0,0.0,0.0,0.0,5000,358.2852450098764,179.1426225049382,0.0,0,29762.232899421502,8044.593899421183,0,0.0,0.0,0,8.079223334789276e-08,0,0.0,1.0,-0.0,-0.0,0.0,0.0,0.0,2033.5342315925125,0.0,0.0
43,1543.5636303746785,6174.254521498714,8232.339361998285,0.0,1,1,1.0,0.0,0.0,1.0,1.0,-0.0,0.0,0.0,-0.0,-0.0,6067.938554537791,1543.5636303746785,6174.254521498714,1543.5636303746785,152.4119436956878,0.0,0.0,0.0,0.0,5000,425.2638678436935,212.63193392184675,0.0,0,29762.232899421502,8044.593899421183,0,0.0,0.0,0,8.079223334789276e-08,0,0.0,1.0,-0.0,-0.0,0.0,0.0,0.0,2343.438053259606,0.0,0.0
44,1431.5249185136097,5726.099674054439,7634.799565405919,0.0,1,1,1.0,0.0,0.0,1.0,1.0,-0.0,0.0,0.0,-0.0,-0.0,5624.2108771601,1431.5249185136097,5726.099674054439,1431.5249185136097,214.27348790071187,0.0,0.0,0.0,0.0,5000,407.5551875773567,203.77759378867836,0.0,0,29762.232899421502,8044.593899421183,0,0.0,0.0,0,8.079223334789276e-08,0,0.0,1.0,-0.0,-0.0,0.0,0.0,0.0,2206.0039000433608,0.0,0.0
45,1400.8056812325492,5603.222724930197,7470.963633240262,0.0,1,1,1.0,0.0,0.0,1.0,1.0,-0.0,0.0,0.0,-0.0,-0.0,5501.133077977646,1400.8056812325492,5603.222724930197,1400.8056812325492,223.42513432097348,0.0,0.0,0.0,0.0,5000,408.3585878102022,204.1792939051011,0.0,0,29762.232899421502,8044.593899421183,0,0.0,0.0,0,8.079223334789276e-08,0,0.0,1.0,-0.0,-0.0,0.0,0.0,0.0,2168.3216356452604,0.0,0.0
